City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kamareddi,IN,18.3167,78.35,73.63,92,100,11.32,overcast clouds
80,Cherskiy,RU,68.75,161.3,45.77,71,99,15.9,overcast clouds
81,Yukhnov,RU,54.7444,35.2297,67.84,80,56,0.81,broken clouds
82,Ribeira Grande,PT,38.5167,-28.7,66.96,76,100,9.06,overcast clouds
83,Severomuysk,RU,56.1481,113.4267,51.21,83,100,4.27,light rain
84,Illapel,CL,-31.6308,-71.1653,48.96,72,17,0.45,few clouds
85,Quatre Cocos,MU,-20.2078,57.7625,68.11,65,83,14.09,broken clouds
86,Dolores,AR,-36.3132,-57.6792,42.84,92,0,6.58,clear sky
87,Lebu,CL,-37.6167,-73.65,51.17,84,99,21.47,overcast clouds
88,Faanui,PF,-16.4833,-151.75,79.95,70,4,10.8,clear sky
89,Constitucion,CL,-35.3333,-72.4167,51.4,87,91,17.34,overcast clouds
90,Uchiza,PE,-8.4592,-76.4633,71.4,71,41,2.62,scattered clouds
91,Souillac,MU,-20.5167,57.5167,68.38,77,75,6.91,broken clouds
92,Zhanakorgan,KZ,43.9098,67.2495,83.55,22,16,10.02,few clouds
93,Rezina,MD,47.7492,28.9622,75.87,43,100,5.19,overcast clouds
94,Klaksvik,FO,62.2266,-6.589,50.92,99,100,6.06,moderate rain
95,Dingle,PH,10.9995,122.6711,87.22,68,86,4.9,overcast clouds
96,Poum,NC,-20.2333,164.0167,76.75,82,100,24.56,overcast clouds
97,Catuday,PH,16.2923,119.8062,83.28,65,99,5.26,overcast clouds
98,Hobart,AU,-42.8794,147.3294,53.26,79,100,1.01,overcast clouds
99,Bodden Town,KY,19.2833,-81.25,82.92,85,54,1.99,broken clouds
100,Baykit,RU,61.67,96.37,65.39,56,92,2.64,overcast clouds
101,Alihe,CN,50.5667,123.7167,76.98,86,100,7.87,overcast clouds
102,Merauke,ID,-8.4667,140.3333,79.34,84,100,14.38,overcast clouds
103,Kilindoni,TZ,-7.9139,39.6668,75.94,76,2,17.27,clear sky
104,Waimana,NZ,-38.15,177.0833,61.05,73,100,6.24,overcast clouds
105,Clyde River,CA,70.4692,-68.5914,39.43,81,0,4.61,clear sky
106,Santa Luzia,BR,-19.7697,-43.8514,59.9,94,75,0.0,broken clouds
107,Kavaratti,IN,10.5669,72.642,81.45,84,100,21.81,heavy intensity rain
108,Abnub,EG,27.2696,31.1511,80.82,29,2,5.26,clear sky
109,Saldanha,ZA,-33.0117,17.9442,41.05,89,1,6.29,clear sky
110,Port Hedland,AU,-20.3167,118.5667,75.25,11,76,16.11,broken clouds
111,Masunga,BW,-20.6246,27.4488,50.13,63,0,5.93,clear sky
112,Yarim,YE,14.298,44.3779,61.72,58,21,5.21,few clouds
113,Hobyo,SO,5.3505,48.5268,76.8,79,68,23.71,broken clouds
114,New Norfolk,AU,-42.7826,147.0587,52.92,57,100,3.27,overcast clouds
115,Naze,JP,28.3667,129.4833,83.32,80,71,12.33,broken clouds
116,Awbari,LY,26.5921,12.7805,77.77,34,0,8.25,clear sky
117,Florencia,IT,43.7667,11.25,73.54,90,0,3.44,clear sky
118,Kapiri Mposhi,ZM,-13.9652,28.6809,50.18,90,13,4.52,few clouds
119,Arraial Do Cabo,BR,-22.9661,-42.0278,69.53,88,0,20.6,clear sky
120,Labuhan,ID,-6.8844,112.2051,84.78,68,55,3.67,broken clouds
121,Vercelli,IT,45.3231,8.4153,72.59,81,46,3.33,scattered clouds
122,Kidodi,TZ,-7.6036,37.0044,62.19,85,50,2.82,scattered clouds
123,Longyearbyen,SJ,78.2186,15.6401,42.64,70,75,10.36,broken clouds
124,Lieksa,FI,63.3167,30.0167,58.46,75,23,8.1,few clouds
125,Paciran,ID,-6.8767,112.3761,84.74,68,60,3.24,broken clouds
126,Narsaq,GL,60.9167,-46.05,44.82,95,100,3.71,overcast clouds
127,Moose Factory,CA,51.2585,-80.6094,44.6,93,0,5.75,clear sky
128,Torbay,CA,47.6666,-52.7314,58.57,72,20,18.41,few clouds
129,Kajiado,KE,-1.8524,36.7768,52.68,90,80,4.59,broken clouds
130,Samarai,PG,-10.6167,150.6667,83.75,74,97,10.63,overcast clouds
131,Port Alfred,ZA,-33.5906,26.891,57.18,95,99,14.65,moderate rain
132,Carnarvon,AU,-24.8667,113.6333,71.13,26,0,7.85,clear sky
133,Baruun-Urt,MN,46.6806,113.2792,74.46,37,2,13.44,clear sky
134,Chifeng,CN,42.2683,118.9636,68.59,88,100,4.7,light rain
135,Kaitangata,NZ,-46.2817,169.8464,48.56,71,44,11.79,scattered clouds
136,Arys,KZ,42.4252,68.795,83.34,22,0,1.88,clear sky
137,Carinhanha,BR,-14.3047,-43.765,66.88,61,0,3.69,clear sky
138,Kruisfontein,ZA,-34.0033,24.7314,53.89,92,79,5.84,broken clouds
139,Port Elizabeth,ZA,-33.918,25.5701,57.49,91,0,9.22,clear sky
140,Airai,TL,-8.9266,125.4092,65.08,61,58,3.24,broken clouds
141,Port Macquarie,AU,-31.4333,152.9167,64.29,100,75,5.75,moderate rain
142,Kapaa,US,22.0752,-159.319,84.18,70,40,18.41,scattered clouds
143,Souris,CA,49.6172,-100.2612,64.26,95,64,8.86,broken clouds
144,San Patricio,US,28.017,-97.5169,84.88,77,52,13.44,broken clouds
145,Cabo San Lucas,MX,22.8909,-109.9124,80.51,66,2,3.0,clear sky
146,Cape Town,ZA,-33.9258,18.4232,53.38,91,20,8.05,mist
147,Hamilton,US,39.1834,-84.5333,80.69,89,0,3.44,clear sky
148,Qaqortoq,GL,60.7167,-46.0333,44.38,97,100,3.98,overcast clouds
149,Nanortalik,GL,60.1432,-45.2371,43.92,86,95,9.42,overcast clouds
150,Arona,ES,28.0996,-16.681,64.9,58,20,8.05,few clouds
151,Vila Velha,BR,-20.3297,-40.2925,67.95,94,0,3.44,clear sky
152,Tanabe,JP,33.7333,135.3667,85.21,74,40,10.36,scattered clouds
153,Turukhansk,RU,65.8167,87.9833,64.24,43,96,6.42,overcast clouds
154,Doha,QA,25.2867,51.5333,93.18,49,93,4.61,overcast clouds
155,Mana,GF,5.6592,-53.7767,76.33,89,100,8.01,overcast clouds
156,Coquimbo,CL,-29.9533,-71.3436,49.73,93,0,3.44,clear sky
157,Severo-Kurilsk,RU,50.6789,156.125,52.7,83,77,7.45,broken clouds
158,Pychas,RU,56.5033,52.4409,63.75,66,0,7.76,clear sky
159,Lodeynoye Pole,RU,60.726,33.5531,62.08,65,34,8.46,scattered clouds
160,Nouadhibou,MR,20.931,-17.0347,69.78,78,0,19.57,clear sky
161,Atar,MR,20.5169,-13.0499,90.43,24,24,4.34,few clouds
162,Saint George,US,37.1041,-113.5841,90.19,13,0,3.44,clear sky
163,Bambous Virieux,MU,-20.3428,57.7575,68.25,77,75,6.91,broken clouds
164,Mount Gambier,AU,-37.8333,140.7667,56.14,63,25,10.69,scattered clouds
165,Hilo,US,19.7297,-155.09,84.27,78,75,10.36,broken clouds
166,Ponta Do Sol,PT,32.6667,-17.1,68.63,70,26,5.12,scattered clouds
167,Kihei,US,20.785,-156.4656,80.62,73,20,23.02,few clouds
168,Hayden,US,47.766,-116.7866,69.84,60,0,9.22,clear sky
169,Lompoc,US,34.6391,-120.4579,66.02,89,75,18.01,broken clouds
170,Castro,BR,-24.7911,-50.0119,52.86,81,95,2.86,overcast clouds
171,Chimore,BO,-16.9833,-65.1333,76.35,62,99,0.85,overcast clouds
172,Noumea,NC,-22.2763,166.4572,84.18,99,66,4.92,broken clouds
173,Belyy Yar,RU,53.6039,91.3903,75.09,41,0,11.18,clear sky
174,Watsonville,US,36.9102,-121.7569,69.19,83,17,3.67,few clouds
175,Mikhaylov,RU,54.2292,39.0186,68.97,77,38,5.75,scattered clouds
176,Bethel,US,41.3712,-73.414,74.25,86,100,8.05,overcast clouds
177,Nizhniy Tsasuchey,RU,50.5167,115.1333,64.49,73,95,8.21,overcast clouds
178,Polunochnoye,RU,60.8697,60.4153,59.72,83,61,2.64,broken clouds
179,Fort Nelson,CA,58.8053,-122.7002,71.19,49,20,2.3,few clouds
180,Kalispell,US,48.1958,-114.3129,64.29,64,0,0.0,clear sky
181,Kodiak,US,57.79,-152.4072,62.11,72,40,12.66,scattered clouds
182,Ilulissat,GL,69.2167,-51.1,42.82,93,100,0.0,overcast clouds
183,Serdobsk,RU,52.4586,44.2169,59.76,69,35,4.12,scattered clouds
184,Lerwick,GB,60.1545,-1.1494,53.6,98,100,17.81,light rain
185,Jamestown,US,42.097,-79.2353,73.02,84,40,10.36,scattered clouds
186,Orlando,US,28.5383,-81.3792,82.45,75,0,6.91,clear sky
187,Mustvee,EE,58.8486,26.9397,57.7,84,71,8.21,broken clouds
188,Puerto Baquerizo Moreno,EC,-0.9,-89.6,70.65,78,82,10.67,broken clouds
189,Hirara,JP,24.8,125.2833,87.66,79,40,13.8,scattered clouds
190,Luba,GQ,3.4568,8.5547,73.29,89,96,5.5,light rain
191,Sept-Iles,CA,50.2001,-66.3821,57.2,55,20,3.44,few clouds
192,Coahuayana,MX,18.7333,-103.6833,77.85,93,89,2.53,overcast clouds
193,Riberalta,BO,-10.9833,-66.1,75.38,70,74,1.57,broken clouds
194,Yellowknife,CA,62.456,-114.3525,70.32,35,20,2.3,few clouds
195,Nikolskoye,RU,59.7035,30.7861,61.81,76,34,5.53,scattered clouds
196,Hofn,IS,64.2539,-15.2082,48.29,82,96,10.96,overcast clouds
197,Kirakira,SB,-10.4544,161.9205,83.46,74,100,8.88,overcast clouds
198,Weiser,US,44.251,-116.9693,80.8,43,3,5.44,clear sky
199,Lorengau,PG,-2.0226,147.2712,83.71,73,90,10.65,overcast clouds
200,Cockburn Town,TC,21.4612,-71.1419,81.03,76,6,19.8,clear sky
201,Maple Creek,CA,49.9168,-109.4848,61.21,82,12,3.44,few clouds
202,Ahipara,NZ,-35.1667,173.1667,59.14,91,100,7.4,overcast clouds
203,Robinson,US,31.4677,-97.1147,90.18,53,0,6.91,clear sky
204,High Rock,BS,26.6208,-78.2833,82.42,75,38,13.44,scattered clouds
205,Tuatapere,NZ,-46.1333,167.6833,48.06,73,41,6.38,scattered clouds
206,Jatai,BR,-17.8814,-51.7144,61.97,48,11,4.54,few clouds
207,Codrington,AU,-38.2667,141.9667,56.7,58,8,12.64,clear sky
208,Tessalit,ML,20.1986,1.0114,88.59,27,59,7.31,broken clouds
209,Matara,LK,5.9485,80.5353,83.03,73,99,12.55,overcast clouds
210,Shimoda,JP,34.6667,138.95,86.36,79,80,3.44,broken clouds
211,Chase,CA,50.8165,-119.6857,65.28,72,94,2.59,overcast clouds
212,Baker City,US,44.7749,-117.8344,69.51,52,75,12.66,broken clouds
213,Sitka,US,57.0531,-135.33,55.29,88,100,3.44,mist
214,Luzino,RU,54.9481,73.0353,62.37,100,75,0.0,light rain
215,Bajil,YE,15.0584,43.2851,85.66,51,15,10.0,few clouds
216,Uong Bi,VN,21.0333,106.7833,85.98,84,100,0.43,overcast clouds
217,Tura,IN,25.5198,90.2201,84.0,73,79,7.11,heavy intensity rain
218,La Ronge,CA,55.1001,-105.2842,61.05,63,100,4.61,overcast clouds
219,Bac Lieu,VN,9.285,105.7244,86.67,70,66,12.46,light rain
220,Jamtara,IN,23.95,86.8,87.48,64,67,15.55,broken clouds
221,Kununurra,AU,-15.7667,128.7333,75.18,25,77,13.8,broken clouds
222,Urengoy,RU,65.9667,78.3667,53.87,82,99,9.31,overcast clouds
223,Pevek,RU,69.7008,170.3133,37.06,90,100,13.69,overcast clouds
224,Lata,PT,40.1629,-8.3327,65.07,90,14,2.13,few clouds
225,Flagstaff,US,35.1981,-111.6513,71.53,46,0,5.75,clear sky
226,Kanye,BW,-24.9667,25.3327,49.71,63,0,5.39,clear sky
227,Hualmay,PE,-11.0964,-77.6139,61.45,85,61,6.42,broken clouds
228,Rayong,TH,12.8333,101.4333,90.79,93,98,6.26,overcast clouds
229,Biak,ID,-0.9131,122.8766,81.9,71,91,6.08,overcast clouds
230,Padang,ID,-0.9492,100.3543,84.97,67,97,3.56,overcast clouds
231,Yumen,CN,40.2833,97.2,94.55,9,0,22.37,clear sky
232,Alice Springs,AU,-23.7,133.8833,60.35,23,0,8.05,clear sky
233,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,74.39,84,76,1.25,broken clouds
234,Olinda,BR,-8.0089,-34.8553,78.53,78,40,6.91,scattered clouds
235,Oleksandrivka,UA,48.9634,32.2349,79.03,42,18,5.53,few clouds
236,Haines Junction,CA,60.7522,-137.5108,73.35,43,87,2.3,overcast clouds
237,Pyay,MM,18.8167,95.2167,90.46,59,100,6.78,overcast clouds
238,Carutapera,BR,-1.195,-46.02,72.82,94,19,3.62,few clouds
239,Sakakah,SA,29.9697,40.2064,81.97,21,0,15.97,clear sky
240,Mahebourg,MU,-20.4081,57.7,68.29,77,75,6.91,broken clouds
241,Almeria,ES,37.1667,-2.3333,68.43,62,95,3.38,overcast clouds
242,Namie,JP,37.4833,141.0,72.99,92,93,3.94,light rain
243,Cidreira,BR,-30.1811,-50.2056,63.03,95,100,7.4,overcast clouds
244,Pisco,PE,-13.7,-76.2167,57.02,88,40,3.44,mist
245,Severnyy,RU,50.677,36.5532,71.64,73,0,2.24,clear sky
246,Alofi,NU,-19.0595,-169.9187,75.09,73,77,11.5,broken clouds
247,Luderitz,NA,-26.6481,15.1594,54.72,42,0,5.79,clear sky
248,Leningradskiy,RU,69.3833,178.4167,52.72,65,99,0.54,overcast clouds
249,Snezhnogorsk,RU,69.1933,33.2531,62.38,62,64,15.5,broken clouds
250,Bosaso,SO,11.2842,49.1816,91.38,40,100,36.82,overcast clouds
251,Abbotsford,CA,49.058,-122.2526,68.68,68,75,8.05,broken clouds
252,Port Lincoln,AU,-34.7333,135.8667,59.5,59,45,10.56,scattered clouds
253,Tiksi,RU,71.6872,128.8694,42.62,76,27,11.07,scattered clouds
254,Soyo,AO,-6.1349,12.3689,68.04,89,77,5.86,broken clouds
255,Paita,PE,-5.0892,-81.1144,63.03,82,37,12.48,scattered clouds
256,Mont-Dore,NC,-22.2833,166.5833,84.18,99,75,8.25,broken clouds
257,Sioux Lookout,CA,50.1001,-91.917,59.07,63,0,3.44,clear sky
258,Owerri,NG,5.4833,7.0304,71.64,98,79,1.25,broken clouds
259,Yar-Sale,RU,66.8333,70.8333,64.02,58,29,10.65,scattered clouds
260,Obihiro,JP,42.9172,143.2044,69.21,86,100,5.88,overcast clouds
261,Shakawe,BW,-18.3667,21.85,54.0,53,10,4.03,clear sky
262,Tutoia,BR,-2.7619,-42.2744,73.99,81,84,6.6,broken clouds
263,Tairua,NZ,-37.0167,175.85,58.75,83,100,10.4,overcast clouds
264,Bondoukou,CI,8.0333,-2.8,68.34,99,59,4.5,broken clouds
265,Jinji,CN,23.2281,110.8261,77.23,98,100,0.83,overcast clouds
266,Ciudad Bolivar,VE,8.1222,-63.5497,75.18,91,98,7.85,overcast clouds
267,Neftegorsk,RU,52.802,51.166,64.63,66,3,8.39,clear sky
268,Moerai,PF,-22.4333,-151.3333,72.7,77,100,8.28,overcast clouds
269,Pacific Grove,US,36.6177,-121.9166,65.88,88,75,4.61,broken clouds
270,Nueva Loja,EC,0.0847,-76.8828,67.73,92,96,2.15,overcast clouds
271,San Cristobal,VE,7.7669,-72.225,71.78,98,64,3.27,broken clouds
272,Auki,SB,-8.7676,160.7034,84.29,65,100,3.65,overcast clouds
273,Havoysund,NO,70.9963,24.6622,61.03,85,66,21.68,broken clouds
274,Goderich,CA,43.7501,-81.7165,62.92,94,27,5.75,scattered clouds
275,Kemijarvi,FI,66.7131,27.4306,58.53,64,46,11.86,scattered clouds
276,Wajima,JP,37.4,136.9,88.48,62,40,6.91,scattered clouds
277,Casa Nova,BR,-9.4167,-41.1333,69.21,73,2,18.12,clear sky
278,Saint-Joseph,RE,-21.3667,55.6167,65.21,70,59,11.59,broken clouds
279,Marienburg,PL,54.0359,19.0266,62.11,73,68,4.68,broken clouds
280,Pilar,BR,-9.5972,-35.9567,71.53,96,22,1.79,few clouds
281,Bandarbeyla,SO,9.4942,50.8122,80.98,60,26,35.41,scattered clouds
282,Otwock,PL,52.1058,21.2613,63.9,94,100,6.82,light rain
283,San Lazaro,BZ,18.0387,-88.6622,75.4,96,98,3.62,overcast clouds
284,Andros Town,BS,24.7,-77.7667,82.36,73,30,13.22,scattered clouds
285,Victoria,HK,22.2855,114.1577,87.96,84,100,11.99,moderate rain
286,Srednekolymsk,RU,67.45,153.6833,65.89,38,95,6.44,overcast clouds
287,Kayerkan,RU,69.3497,87.7602,57.52,71,100,9.84,overcast clouds
288,Kolokani,ML,13.5728,-8.0339,75.7,72,99,9.53,overcast clouds
289,San Javier,ES,37.8063,-0.8374,78.58,87,75,5.75,broken clouds
290,Hambantota,LK,6.1241,81.1185,89.94,62,20,16.11,few clouds
291,Hasaki,JP,35.7333,140.8333,77.4,85,66,23.22,broken clouds
292,Taoudenni,ML,22.6783,-3.9836,94.5,10,24,9.06,few clouds
293,Eastlake,US,41.6539,-81.4504,78.01,85,40,8.05,scattered clouds
294,Ialibu,PG,-6.2821,143.9935,63.59,92,100,2.39,overcast clouds
295,Palmas,BR,-10.2128,-48.3603,71.47,73,0,4.61,clear sky
296,Eureka,US,40.8021,-124.1637,63.19,83,94,1.88,overcast clouds
297,Sao Joao Da Barra,BR,-21.6403,-41.0511,67.23,87,0,12.12,clear sky
298,Olafsvik,IS,64.8945,-23.7142,50.2,72,67,6.22,broken clouds
299,Hervey Bay,AU,-25.2986,152.8535,63.95,58,28,12.19,scattered clouds
300,Kambove,CD,-10.8764,26.5969,51.19,78,2,3.29,clear sky
301,Dhidhdhoo,MV,6.8833,73.1,82.36,83,100,18.19,overcast clouds
302,Garden City,US,42.3256,-83.331,76.05,77,75,11.5,broken clouds
303,Buraydah,SA,26.326,43.975,84.65,16,3,9.64,clear sky
304,Harer,ET,9.3094,42.1258,61.23,73,48,5.41,scattered clouds
305,Harper,LR,4.375,-7.7169,75.99,82,72,6.8,broken clouds
306,Carballo,ES,43.213,-8.691,65.01,90,7,10.69,clear sky
307,Supe,PE,-10.8,-77.7333,61.52,84,76,5.77,broken clouds
308,Quchan,IR,37.106,58.5095,69.22,29,0,9.42,clear sky
309,Roquetas De Mar,ES,36.7642,-2.6148,77.0,84,92,1.99,overcast clouds
310,Kertosono,ID,-7.5833,112.1,86.34,66,87,6.11,overcast clouds
311,Kibaha,TZ,-6.7667,38.9167,66.72,84,50,6.33,scattered clouds
312,Szczecinek,PL,53.7079,16.6994,57.81,72,48,7.18,scattered clouds
313,Taytayan,PH,7.7339,126.5019,85.77,67,75,7.05,broken clouds
314,Chipata,ZM,-13.6333,32.65,54.55,77,0,4.05,clear sky
